time,wkg
556,6.418
607,6.101
679,5.8
688,5.436
702,4.89
775,3.818
565,6.38
588,6.16
633,5.5
638,5.101
696,5.06
698,5.0138
705,4.95
710,4.774
716,4.76
723,4.64
732,4.366
734,4.845
734,4.78
736,4.538
755,4.535
759,4.67
766,4.408
770,4.42
778,4.823
778,4.66
781,4.549
785,3.88
788,4.47
794,4.42
795,4.42
795,4.28
798,4.64
800,4.53
759,5.41
823,4.76
831,4.64
839,4.41
678,5.12
693,5.02
713,4.91
722,4.6
731,4.49
743,4.39
757,4.379
521,7.169
599,6.01
607,5.89
621,5.6
635,5.5
638,5.44
638,5.49
641,5.27
644,5.36
669,5.27
684,4.95
685,5.1
689,4.86
1173,2.33
1214,2.31
726,4.6
694,5.06
878,4.32
898,4.3
902,3.95
915,4.05
929,3.48
936,3.37
942,3.81
962,3.26
981,3.168
988,2.76
997,3.49
