time,wkg
1746,5.52
1806,4.64
1810,5.43
1860,4.145
1964,4.472
2141,5.5
2192,4.76
2236,4.03
2387,3.6
2409,3.4
2454,4.01
2527,4.1
1471,7.08
1610,5.68
1629,5.16
1752,5.52
1779,4.75
1794,5.42
1822,5.475
1851,5.01
1890,4.67
1905,4.65
1910,5.16
1930,4.62
1935,5.04
1968,4.67
1968,4.24
1969,4.75
1980,4.86
2001,4.62
2017,4.49
2022,4.6
2045,4.32
2046,4.4
2056,4.03
2061,4.72
2062,3.37
2088,4.31
2089,3.86
2091,4
2096,4.29
1599,5.45
1739,5.35
1806,5.08
1848,4.87
1877,4.9
1897,4.7
1919,4.35
1943,4.38
1947,4.35
1950,4.32
1952,4.53
1963,4.28
2015,4.22
2019,4.52
2021,4.09
2028,4.464
2032,4.11
2041,4.25
2050,4.15
2081,4.45
2106,3.92
2135,3.3
2146,3.65
2150,3.8
2190,3.35
2192,3.58
2215,3.71
2233,3.6
2246,3.37
2252,3.53
2266,3.58
2289,3.28
2302,3.5
2381,3.16
2689,3.15
2736,2.81
2759,2.81
2353,3.23
2467,3.25
2495,3.15
2503,3.13
2504,3.11
2512,2.88
2514,3.13
2520,2.82
2525,2.91
